gender == Male,Relation == Father,ParentAnsweringSurvey,ParentschoolSatisfaction == Good,StudentAbsenceDaysAbove7,Semester == F == F,Semester == F == S,"raisedhands == (-0.001, 50.0]","raisedhands == (50.0, 100.0]","VisITedResources == (-0.001, 65.0]","VisITedResources == (65.0, 99.0]","AnnouncementsView == (-0.001, 33.0]","AnnouncementsView == (33.0, 98.0]","Discussion == (0.999, 39.0]","Discussion == (39.0, 99.0]",Class == H,Class == L,Class == M
1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1
1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1
0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0
1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0
0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0
1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1
0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1
0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1
1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0
0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1
1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1
0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0
1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0
0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
0,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0
0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0
0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0
0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
1,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0
1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1
0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
0,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,1
0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0
0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1
