A1,A2,A3,A4,A5,A6,L1,L2,L3
0,1,0,0,0,1,1,0,0
0,1,1,1,0,1,1,0,0
0,0,1,0,1,1,0,1,0
0,0,0,1,1,1,0,0,1
0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0
0,0,1,1,1,1,0,1,0
1,1,1,0,1,1,1,0,0
1,0,0,1,1,1,0,0,1
1,0,1,0,1,0,1,0,0
1,1,1,1,1,1,0,1,0
0,0,1,0,0,1,1,0,0
0,1,0,1,1,1,0,0,1
0,1,0,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,1
1,0,1,1,1,1,0,0,1
1,0,0,0,1,0,0,0,1
1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,0,1
0,0,1,1,1,1,0,1,0
0,0,1,0,1,0,0,1,0
0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0
0,1,0,0,1,1,0,0,1
0,0,1,0,1,1,0,0,1
1,0,1,1,1,0,0,1,0
1,1,1,0,1,0,1,0,0
1,1,0,1,0,1,1,0,0
1,0,1,1,1,1,0,1,0
1,1,1,1,0,0,1,0,0
0,0,1,1,0,0,0,1,0
0,1,1,0,0,1,1,0,0
1,0,0,0,1,0,0,0,1
1,0,1,0,0,0,1,0,0
1,1,0,1,0,1,0,0,1
0,0,0,1,0,1,0,1,0
1,1,0,1,1,1,0,0,1
0,1,1,0,1,0,1,0,0
0,0,0,1,0,1,0,1,0
1,1,0,1,1,0,1,0,0
1,0,0,1,0,1,0,0,1
0,0,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0,0
0,0,0,0,1,1,0,0,1
0,0,1,1,1,0,0,1,0
1,1,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,1
0,1,1,1,1,1,0,1,0
0,1,1,1,0,1,1,0,0
0,1,0,0,0,0,1,0,0
0,1,1,0,0,0,1,0,0
1,1,1,1,0,0,1,0,0
0,0,0,0,0,1,0,0,1
1,1,0,0,0,1,1,0,0
1,0,1,0,1,1,0,0,1
1,0,1,0,1,1,0,0,1
1,0,1,0,0,1,1,0,0
1,0,1,0,1,1,0,0,1
1,0,0,0,0,1,0,0,1
0,0,1,1,1,1,0,1,0
1,1,0,1,1,0,0,1,0
1,0,0,0,0,0,1,0,0
0,1,0,1,1,0,0,1,0
1,1,0,0,0,0,1,0,0
1,0,1,0,0,1,0,0,1
0,0,1,0,1,1,0,0,1
1,1,1,1,1,1,0,1,0
0,1,1,1,1,1,0,1,0
0,1,0,1,1,1,0,1,0
0,0,0,0,0,0,0,1,0
1,1,1,0,1,1,1,0,0
1,0,0,0,0,1,0,0,1
1,0,1,0,1,1,0,0,1
1,1,0,1,1,1,0,0,1
1,0,0,1,0,1,0,0,1
0,1,1,1,0,1,0,1,0
1,0,0,1,0,0,0,0,1
1,0,1,1,1,1,0,0,1
1,0,0,0,1,1,0,0,1
1,0,1,1,0,1,0,1,0
1,0,0,0,0,1,0,0,1
0,0,1,0,1,1,0,0,1
1,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,0,1
0,0,1,0,1,0,0,1,0
0,0,0,1,0,1,0,0,1
